Year,DriverName,Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2018,HAM,2018-09-15 13:05:09.842,5435,60,2,38,False,8,car,0 days 00:00:00.027000,0 days 00:20:09.791000
2018,HAM,2018-09-15 13:05:10.082,5379,60,2,39,False,8,car,0 days 00:00:00.267000,0 days 00:20:10.031000
2018,HAM,2018-09-15 13:05:10.321,5944,63,2,32,False,8,car,0 days 00:00:00.506000,0 days 00:20:10.270000
2018,HAM,2018-09-15 13:05:10.561,6261,68,2,35,False,8,car,0 days 00:00:00.746000,0 days 00:20:10.510000
2018,HAM,2018-09-15 13:05:10.801,6803,75,2,41,False,8,car,0 days 00:00:00.986000,0 days 00:20:10.750000
2018,HAM,2018-09-15 13:05:11.041,7611,81,2,46,False,8,car,0 days 00:00:01.226000,0 days 00:20:10.990000
2018,HAM,2018-09-15 13:05:11.281,8303,90,2,50,False,8,car,0 days 00:00:01.466000,0 days 00:20:11.230000
2018,HAM,2018-09-15 13:05:11.521,8752,95,2,56,False,8,car,0 days 00:00:01.706000,0 days 00:20:11.470000
2018,HAM,2018-09-15 13:05:11.761,9569,102,2,57,False,8,car,0 days 00:00:01.946000,0 days 00:20:11.710000
2018,HAM,2018-09-15 13:05:12.041,10295,112,2,62,False,8,car,0 days 00:00:02.226000,0 days 00:20:11.990000
2018,HAM,2018-09-15 13:05:12.281,10968,122,2,64,False,8,car,0 days 00:00:02.466000,0 days 00:20:12.230000
2018,HAM,2018-09-15 13:05:12.521,10858,125,2,0,True,8,car,0 days 00:00:02.706000,0 days 00:20:12.470000
2018,HAM,2018-09-15 13:05:12.761,10821,120,2,0,True,8,car,0 days 00:00:02.946000,0 days 00:20:12.710000
2018,HAM,2018-09-15 13:05:13.001,10047,112,2,0,True,8,car,0 days 00:00:03.186000,0 days 00:20:12.950000
2018,HAM,2018-09-15 13:05:13.241,9444,106,2,0,True,8,car,0 days 00:00:03.426000,0 days 00:20:13.190000
2018,HAM,2018-09-15 13:05:13.481,8902,99,2,0,True,8,car,0 days 00:00:03.666000,0 days 00:20:13.430000
2018,HAM,2018-09-15 13:05:13.682,8445,94,2,0,True,8,car,0 days 00:00:03.867000,0 days 00:20:13.631000
2018,HAM,2018-09-15 13:05:13.922,7921,89,2,0,True,8,car,0 days 00:00:04.107000,0 days 00:20:13.871000
2018,HAM,2018-09-15 13:05:14.162,7437,84,2,0,True,8,car,0 days 00:00:04.347000,0 days 00:20:14.111000
2018,HAM,2018-09-15 13:05:14.402,6790,77,2,0,True,8,car,0 days 00:00:04.587000,0 days 00:20:14.351000
