Year,Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2018,2018-09-15 12:45:02,Other,BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,,
2018,2018-09-15 12:45:17,Other,RISK OF RAIN FOR THIS SESSION IS 10%,,,,,,
2018,2018-09-15 13:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2018,2018-09-15 13:10:06,Other,CAR 18 (STR) YELLOW LINE AT TURN 7,,,,,,
2018,2018-09-15 13:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2018,2018-09-15 13:18:47,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,
2018,2018-09-15 13:18:52,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
2018,2018-09-15 13:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2018,2018-09-15 13:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2018,2018-09-15 13:48:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2018,2018-09-15 14:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2019,2019-09-21 12:45:03,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 0%,,,,,,
2019,2019-09-21 12:46:12,Other,BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,,
2019,2019-09-21 13:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2019,2019-09-21 13:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2019,2019-09-21 13:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2019,2019-09-21 13:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2019,2019-09-21 13:44:06,Flag,DOUBLE YELLOW IN TRACK SECTOR 12,,DOUBLE YELLOW,Sector,12.0,,
2019,2019-09-21 13:44:10,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,,DOUBLE YELLOW,Sector,4.0,,
2019,2019-09-21 13:44:35,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,,DOUBLE YELLOW,Sector,17.0,,
