Year,DriverName,Date,Status,X,Y,Z,Source,Time,SessionTime
2018,HAM,2018-09-15 12:45:01.129,OnTrack,-13498,-8333,188,pos,0 days 00:00:01.078000,0 days 00:00:01.078000
2018,HAM,2018-09-15 12:45:01.429,OnTrack,-13498,-8333,188,pos,0 days 00:00:01.378000,0 days 00:00:01.378000
2018,HAM,2018-09-15 12:45:01.729,OnTrack,-13498,-8333,188,pos,0 days 00:00:01.678000,0 days 00:00:01.678000
2018,HAM,2018-09-15 12:45:02.029,OnTrack,-13498,-8333,188,pos,0 days 00:00:01.978000,0 days 00:00:01.978000
2018,HAM,2018-09-15 12:45:02.230,OnTrack,-13498,-8333,188,pos,0 days 00:00:02.179000,0 days 00:00:02.179000
2018,HAM,2018-09-15 12:45:02.530,OnTrack,-13498,-8333,188,pos,0 days 00:00:02.479000,0 days 00:00:02.479000
2018,HAM,2018-09-15 12:45:02.830,OnTrack,-13498,-8333,188,pos,0 days 00:00:02.779000,0 days 00:00:02.779000
2018,HAM,2018-09-15 12:45:03.130,OnTrack,-13498,-8333,188,pos,0 days 00:00:03.079000,0 days 00:00:03.079000
2018,HAM,2018-09-15 12:45:03.430,OnTrack,-13498,-8333,188,pos,0 days 00:00:03.379000,0 days 00:00:03.379000
2018,HAM,2018-09-15 12:45:03.730,OnTrack,-13498,-8333,188,pos,0 days 00:00:03.679000,0 days 00:00:03.679000
2018,HAM,2018-09-15 12:45:04.030,OnTrack,-13498,-8333,188,pos,0 days 00:00:03.979000,0 days 00:00:03.979000
2018,HAM,2018-09-15 12:45:04.330,OnTrack,-13498,-8333,188,pos,0 days 00:00:04.279000,0 days 00:00:04.279000
2018,HAM,2018-09-15 12:45:04.630,OnTrack,-13498,-8333,188,pos,0 days 00:00:04.579000,0 days 00:00:04.579000
2018,HAM,2018-09-15 12:45:04.930,OnTrack,-13498,-8333,188,pos,0 days 00:00:04.879000,0 days 00:00:04.879000
2018,HAM,2018-09-15 12:45:05.230,OnTrack,-13498,-8333,188,pos,0 days 00:00:05.179000,0 days 00:00:05.179000
2018,HAM,2018-09-15 12:45:05.530,OnTrack,-13498,-8333,188,pos,0 days 00:00:05.479000,0 days 00:00:05.479000
2018,HAM,2018-09-15 12:45:05.830,OnTrack,-13498,-8333,188,pos,0 days 00:00:05.779000,0 days 00:00:05.779000
2018,HAM,2018-09-15 12:45:06.130,OnTrack,-13498,-8333,188,pos,0 days 00:00:06.079000,0 days 00:00:06.079000
2018,HAM,2018-09-15 12:45:06.430,OnTrack,-13498,-8333,188,pos,0 days 00:00:06.379000,0 days 00:00:06.379000
2018,HAM,2018-09-15 12:45:06.730,OnTrack,-13498,-8333,188,pos,0 days 00:00:06.679000,0 days 00:00:06.679000
