Year,Time,Status,Message
2018,0 days 00:00:00,1,AllClear
2018,0 days 00:33:47.277000,2,Yellow
2018,0 days 00:33:51.764000,1,AllClear
2019,0 days 00:12:49.069000,1,AllClear
2019,0 days 00:59:05.048000,2,Yellow
2019,0 days 01:00:50.207000,1,AllClear
2022,0 days 00:00:00,1,AllClear
2022,0 days 00:20:59.009000,2,Yellow
2022,0 days 00:20:59.881000,1,AllClear
2022,0 days 00:21:51.595000,2,Yellow
2022,0 days 00:22:03.776000,1,AllClear
2022,0 days 00:22:40.991000,2,Yellow
2022,0 days 00:22:43.330000,1,AllClear
2022,0 days 00:25:43.598000,2,Yellow
2022,0 days 00:25:47.906000,1,AllClear
2022,0 days 00:33:16.540000,2,Yellow
2022,0 days 00:33:34.076000,1,AllClear
2022,0 days 01:09:59.063000,2,Yellow
2022,0 days 01:10:23.920000,1,AllClear
2023,0 days 00:00:00,1,AllClear
