Year,Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2018,2018-09-16 11:55:08,Other,RISK OF RAIN FOR THIS SESSION IS 10%,,,,,,1
2018,2018-09-16 12:07:02,Drs,DRS DISABLED,DISABLED,,,,,1
2018,2018-09-16 12:13:35,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2018,2018-09-16 12:13:58,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,1
2018,2018-09-16 12:14:03,Flag,DOUBLE YELLOW IN TRACK SECTOR 1,,DOUBLE YELLOW,Sector,1.0,,1
2018,2018-09-16 12:14:10,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,1
2018,2018-09-16 12:15:52,Other,TURN 3 INCIDENT INVOLVING CARS 11 (PER) AND 31 (OCO) UNDER INVESTIGATION - CAUSING A COLLISION,,,,,,1
2018,2018-09-16 12:16:19,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,2
2018,2018-09-16 12:22:14,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,4
2018,2018-09-16 12:22:22,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,4
2018,2018-09-16 12:22:25,Flag,CLEAR IN TRACK SECTOR 1,,CLEAR,Sector,1.0,,4
2018,2018-09-16 12:22:55,Other,TURN 3 INCIDENT INVOLVING CARS 11 (PER) AND 31 (OCO) - NO FURTHER ACTION,,,,,,4
2018,2018-09-16 12:23:57,Flag,TRACK CLEAR,,CLEAR,Track,,,4
2018,2018-09-16 12:27:47,Drs,DRS ENABLED,ENABLED,,,,,7
2018,2018-09-16 13:20:14,Other,TURN 18 INCIDENT INVOLVING CARS 11 (PER) AND 35 (SIR) UNDER INVESTIGATION - CAUSING A COLLISION,,,,,,36
2018,2018-09-16 13:20:22,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 21:20:22,,BLUE,Driver,,20.0,36
2018,2018-09-16 13:21:10,Flag,WAVED BLUE FLAG FOR CAR 28 (HAR) TIMED AT 21:21:10,,BLUE,Driver,,28.0,36
2018,2018-09-16 13:21:48,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 21:21:48,,BLUE,Driver,,20.0,37
2018,2018-09-16 13:22:16,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 21:22:16,,BLUE,Driver,,10.0,37
2018,2018-09-16 13:22:23,Flag,WAVED BLUE FLAG FOR CAR 28 (HAR) TIMED AT 21:22:23,,BLUE,Driver,,28.0,37
