Year,DriverName,Date,Status,X,Y,Z,Source,Time,SessionTime
2018,HAM,2018-09-16 11:55:01.512,OffTrack,0,0,0,pos,0 days 00:00:01.414000,0 days 00:00:01.414000
2018,HAM,2018-09-16 11:55:01.812,OffTrack,0,0,0,pos,0 days 00:00:01.714000,0 days 00:00:01.714000
2018,HAM,2018-09-16 11:55:02.112,OffTrack,0,0,0,pos,0 days 00:00:02.014000,0 days 00:00:02.014000
2018,HAM,2018-09-16 11:55:02.412,OffTrack,0,0,0,pos,0 days 00:00:02.314000,0 days 00:00:02.314000
2018,HAM,2018-09-16 11:55:02.712,OffTrack,0,0,0,pos,0 days 00:00:02.614000,0 days 00:00:02.614000
2018,HAM,2018-09-16 11:55:03.012,OffTrack,0,0,0,pos,0 days 00:00:02.914000,0 days 00:00:02.914000
2018,HAM,2018-09-16 11:55:03.312,OffTrack,0,0,0,pos,0 days 00:00:03.214000,0 days 00:00:03.214000
2018,HAM,2018-09-16 11:55:03.612,OffTrack,0,0,0,pos,0 days 00:00:03.514000,0 days 00:00:03.514000
2018,HAM,2018-09-16 11:55:03.912,OffTrack,0,0,0,pos,0 days 00:00:03.814000,0 days 00:00:03.814000
2018,HAM,2018-09-16 11:55:04.212,OffTrack,0,0,0,pos,0 days 00:00:04.114000,0 days 00:00:04.114000
2018,HAM,2018-09-16 11:55:04.413,OffTrack,0,0,0,pos,0 days 00:00:04.315000,0 days 00:00:04.315000
2018,HAM,2018-09-16 11:55:04.713,OffTrack,0,0,0,pos,0 days 00:00:04.615000,0 days 00:00:04.615000
2018,HAM,2018-09-16 11:55:05.013,OffTrack,0,0,0,pos,0 days 00:00:04.915000,0 days 00:00:04.915000
2018,HAM,2018-09-16 11:55:05.313,OffTrack,0,0,0,pos,0 days 00:00:05.215000,0 days 00:00:05.215000
2018,HAM,2018-09-16 11:55:05.613,OffTrack,0,0,0,pos,0 days 00:00:05.515000,0 days 00:00:05.515000
2018,HAM,2018-09-16 11:55:05.913,OffTrack,0,0,0,pos,0 days 00:00:05.815000,0 days 00:00:05.815000
2018,HAM,2018-09-16 11:55:06.213,OffTrack,0,0,0,pos,0 days 00:00:06.115000,0 days 00:00:06.115000
2018,HAM,2018-09-16 11:55:06.513,OffTrack,0,0,0,pos,0 days 00:00:06.415000,0 days 00:00:06.415000
2018,HAM,2018-09-16 11:55:06.813,OffTrack,0,0,0,pos,0 days 00:00:06.715000,0 days 00:00:06.715000
2018,HAM,2018-09-16 11:55:07.113,OffTrack,0,0,0,pos,0 days 00:00:07.015000,0 days 00:00:07.015000
