Year,Time,Status
2018,0 days 00:00:06.121000,Inactive
2018,0 days 00:18:35.334000,Started
2018,0 days 02:09:47.131000,Finished
2018,0 days 02:12:27.588000,Finalised
2018,0 days 02:21:57.613000,Ends
2019,0 days 00:00:05.070000,Inactive
2019,0 days 00:33:40.429000,Started
2019,0 days 02:32:14.475000,Finished
2019,0 days 02:34:58.820000,Finalised
2019,0 days 02:40:39.676000,Ends
2022,0 days 00:00:09.283000,Inactive
2022,0 days 02:07:56.483000,Started
2022,0 days 04:10:11.950000,Finished
2022,0 days 04:14:33.985000,Finalised
2022,0 days 04:33:38.173000,Ends
2023,0 days 00:00:04.081000,Inactive
2023,0 days 01:02:44.148000,Started
2023,0 days 02:49:21.809000,Finished
2023,0 days 02:56:08.492000,Finalised
2023,0 days 02:57:01.132000,Ends
