Year,Time,Status,Message
2018,0 days 00:07:50.402000,1,AllClear
2018,0 days 00:18:58.280000,2,Yellow
2018,0 days 00:19:09.767000,4,SCDeployed
2018,0 days 00:28:57.272000,1,AllClear
2019,0 days 00:08:25.229000,1,AllClear
2019,0 days 01:37:18.320000,2,Yellow
2019,0 days 01:38:41.623000,4,SCDeployed
2019,0 days 01:50:16.051000,1,AllClear
2019,0 days 01:56:00.932000,2,Yellow
2019,0 days 01:56:48.216000,4,SCDeployed
2019,0 days 02:06:01.324000,1,AllClear
2019,0 days 02:10:11.514000,2,Yellow
2019,0 days 02:10:12.138000,1,AllClear
2019,0 days 02:10:13.449000,2,Yellow
2019,0 days 02:11:01.543000,4,SCDeployed
2019,0 days 02:14:30.971000,1,AllClear
2022,0 days 00:14:57.999000,1,AllClear
2022,0 days 00:48:08.380000,2,Yellow
2022,0 days 01:19:47.419000,1,AllClear
2022,0 days 01:37:26.264000,2,Yellow
